"word","phonetic","definition"
"涼しい","すずしい","cool, refreshing (in reference to weather)｜中文：凉爽｜例句：秋は涼しいです。"
"～ずつ","～ずつ","at a time｜中文：各、每｜例句：一人に一つずつ配る。"
"ストーブ","ストーブ","heater (lit: stove)｜中文：暖炉、取暖器｜例句：冬にストーブをつける。"
"スプーン","スプーン","spoon｜中文：勺子｜例句：スプーンでスープを食べる。"
"スポーツ","スポーツ","sport(s)｜中文：运动｜例句：毎朝スポーツをする。"
"ズボン","ズボン","trousers｜中文：长裤｜例句：黒いズボンを履く。"
"住む","すむ","to reside, to live in｜中文：居住｜例句：東京に住んでいる。"
"する","する","to do, to try; to wear small items (e.g., necktie, watch, etc.)｜中文：做、干｜例句：勉強する。"
"座る","すわる","to sit｜中文：坐｜例句：椅子に座ってください。"
"背","せい","(one's) height, stature｜中文：身高｜例句：背が高いです。"
"生徒","せいと","student; pupil｜中文：中小学生｜例句：中学の生徒です。"
"セーター","セーター","sweater｜中文：毛衣｜例句：寒いのでセーターを着る。"
"石鹸","せっけん","soap｜中文：肥皂｜例句：石鹸で手を洗う。"
"背広","せびろ","men's suit｜中文：西装｜例句：仕事に背広を着る。"
"狭い","せまい","narrow; not spacious｜中文：狭窄｜例句：この部屋は狭い。"
"ゼロ","ゼロ","zero｜中文：零｜例句：ゼロ円です。"
"千","せん","thousand｜中文：千｜例句：千円の本を買った。"
"先月","せんげつ","last month｜中文：上个月｜例句：先月旅行に行った。"
"先週","せんしゅう","last week｜中文：上周｜例句：先週映画を見た。"
"先生","せんせい","teacher, professor; master; doctor｜中文：老师、医生｜例句：田中先生は親切です。"
"洗濯","せんたく","washing, laundry｜中文：洗衣｜例句：毎晩洗濯をする。"
"全部","ぜんぶ","all, entire, whole｜中文：全部｜例句：全部食べました。"
"そう; そうです","そう; そうです","yes; appears, to be the case｜中文：是的、是这样｜例句：そうです、私は学生です。"
"掃除","そうじ (する)","cleaning, sweeping｜中文：打扫｜例句：部屋の掃除をする。"
"そうして; そして","そうして; そして","and, like that｜中文：然后、并且｜例句：朝ご飯を食べ、そして学校へ行く。"
"そこ","そこ","that place, there; bottom, sole｜中文：那里（中指）｜例句：そこに机がある。"
"そちら","そちら","over there｜中文：那边（礼貌中指）｜例句：そちらへ行きます。"
"そっち","そっち","over there｜中文：那边（口语中指）｜例句：そっちに鞄がある。"
"外","そと","outside, exterior｜中文：外面｜例句：外は雨が降っている。"
"その","その","that｜中文：那个（连体中指）｜例句：そのペンは私のです。"
"そば","そば","near, close, beside; Japanese traditional buckwheat noodle｜中文：旁边、荞麦面｜例句：私のそばに座って。"
"空","そら","sky｜中文：天空｜例句：空が青いです。"
"それ","それ","that one｜中文：那个（中指代词）｜例句：それをください。"
"それから","それから","and then, after that｜中文：然后、接下来｜例句：買い物、それから映画を見る。"
"それでは","それでは","in that situation, well then...｜中文：那样的话｜例句：それでは失礼します。"
"～台","～だい","counter for vehicles; machines｜中文：台（车/机器）｜例句：車を一台買う。"
"大学","だいがく","college; university｜中文：大学｜例句：来年大学に入る。"
"大使館","たいしかん","embassy｜中文：大使馆｜例句：外国の大使館がある。"
"大丈夫","だいじょうぶ","It's ok (all right); No need to worry; Everything is under control｜中文：没关系、安全｜例句：大丈夫、怪我はない。"
"大好き","だいすき","very like-able, like very much｜中文：非常喜欢｜例句：猫が大好きです。"
"大切","たいせつ","important｜中文：重要、珍贵｜例句：家族は大切です。"
"台所","だいどころ","kitchen｜中文：厨房｜例句：台所で料理を作る。"
"大変","たいへん","very; difficult, hard｜中文：非常、辛苦｜例句：試験は大変難しかった。"
"高い","たかい","tall, high; expensive｜中文：高、贵｜例句：この鞄は高い。"
"～だけ","～だけ","only ~, just ~, as ~｜中文：只、仅仅｜例句：一人だけ来た。"
"沢山","たくさん","many, much｜中文：很多｜例句：沢山の果物がある。"
"タクシー","タクシー","taxi｜中文：出租车｜例句：タクシーで駅へ行く。"
"出す","だす","to take (something) out; to hand in (something)｜中文：拿出、提交｜例句：ノートを出す。"
"～たち","～たち","plural suffix｜中文：们（人）｜例句：友達たちと遊ぶ。"
"立つ","たつ","to stand up｜中文：站立｜例句：道に立って待つ。"
"たて","たて","length, height｜中文：长度、高度｜例句：たて五十センチ。"
"建物","たてもの","building｜中文：建筑物｜例句：大きな建物が駅の前にある。"
"楽しい","たのしい","enjoyable, fun｜中文：开心、有趣｜例句：旅行は楽しいです。"
"頼む","たのむ","to request, to ask (a favor)｜中文：拜托、请求｜例句：手伝って頼む。"
"たばこ","たばこ","tobacco, cigarettes｜中文：香烟｜例句：ここでたばこを吸ってはいけません。"
"多分","たぶん","perhaps, probably, maybe｜中文：大概、也许｜例句：多分明日晴れる。"
"食べ物","たべもの","food｜中文：食物｜例句：美味しい食べ物が好き。"
"食べる","たべる","to eat｜中文：吃｜例句：毎日三回食べる。"
"卵","たまご","egg｜中文：鸡蛋｜例句：朝卵を食べる。"
"誰","だれ","who｜中文：谁｜例句：あの人は誰ですか。"
"誰か","だれか","someone｜中文：某人｜例句：誰かドアを叩いた。"
"誕生日","たんじょうび","birthday｜中文：生日｜例句：明日私の誕生日です。"
"段々","だんだん","gradually, by degrees｜中文：渐渐｜例句：段々日本語が上手になる。"
"小さい","ちいさい","small, little｜中文：小的｜例句：小さい犬が可愛い。"
"小さな","ちいさな","small, little｜中文：小小的（连体）｜例句：小さな花が咲いている。"
"近い","ちかい","near, close by, short｜中文：近的｜例句：家は駅に近い。"
"違う","ちがう","to be different; to differ; wrong｜中文：不同、错｜例句：答えが違うです。"
"近く","ちかく","nearby; in the neighborhood｜中文：附近｜例句：家の近くに公園がある。"
"地下鉄","ちかてつ","underground train, subway｜中文：地铁｜例句：地下鉄で通勤する。"
"地図","ちず","a map｜中文：地图｜例句：地図を見て道を探す。"
"父","ちち","(my) father｜中文：（自谦）我父亲｜例句：父は医者です。"
"茶色","ちゃいろ","brown｜中文：棕色｜例句：茶色の鞄を持っている。"
"茶碗","ちゃわん","rice bowl｜中文：饭碗｜例句：茶碗にご飯を入れる。"
"～中","～ちゅう","during, while ~ing｜中文：正在｜例句：授業中は話さない。"
"丁度","ちょうど","just, right, exactly｜中文：正好｜例句：丁度三時に着いた。"
"ちょっと","ちょっと","a little, somewhat; just a little, somewhat｜中文：稍微、一点｜例句：ちょっと待ってください。"
"一日","ついたち","one day; first day of the month｜中文：一号、一日｜例句：一日に遠足がある。"
"使う","つかう","to use｜中文：使用｜例句：ペンを使って書く。"
"疲れる","つかれる","to get (become) tired; to become fatigued｜中文：疲惫｜例句：一日働いて疲れた。"
"次","つぎ","next｜中文：下一个｜例句：次の駅で降ります。"
"着く","つく","to arrive at, to reach｜中文：到达｜例句：九時に駅に着く。"
"机","つくえ","desk｜中文：书桌｜例句：机の上に本がある。"
"作る","つくる","to make, to create｜中文：制作｜例句：ケーキを作る。"
"つける","つける","to turn on (e.g., a light); to take｜中文：打开、佩戴｜例句：電気をつける。"
"勤める","つとめる","to work (for)｜中文：任职、上班｜例句：会社に勤めている。"
"つまらない","つまらない","boring, dull; insignificant｜中文：无聊｜例句：この映画はつまらない。"
"冷たい","つめたい","cold (things, people)｜中文：冰凉（物体/人态度）｜例句：水が冷たい。"
"強い","つよい","strong, powerful｜中文：强壮、强烈｜例句：この子は体が強い。"
"手","て","hand｜中文：手｜例句：手が汚れた。"
"テープ","テープ","tape｜中文：胶带、磁带｜例句：テープで紙を貼る。"
"テープレコーダー","テープレコーダー","tape recorder｜中文：录音机｜例句：昔テープレコーダーを使った。"
"テーブル","テーブル","table｜中文：桌子｜例句：テーブルに果物を置く。"
"出かける","でかける","to go out; to depart｜中文：出门｜例句：夕方出かける。"
"手紙","てがみ","letter｜中文：信｜例句：友達に手紙を書く。"
"できる","できる","to be able to (to accomplish)｜中文：能够、做好｜例句：日本語ができます。"
"出口","でぐち","an exit｜中文：出口｜例句：出口はあちらです。"
"テスト","テスト","test｜中文：考试、测验｜例句：明日日本語テストがある。"
"では","では","then, well, so｜中文：那么｜例句：では、始めましょう。"
"デパート","デパート","(abbr.) department store｜中文：百货商场｜例句：休日デパートへ行く。"
"でも","でも","but, however｜中文：但是｜例句：高い、でも美味しい。"
"出る","でる","to appear, to leave｜中文：出来、外出｜例句：部屋から出る。"
"テレビ","テレビ","television, TV｜中文：电视｜例句：毎晩テレビを見る。"
"天気","てんき","weather｜中文：天气｜例句：今日の天気は晴れです。"
"電気","でんき","electricity, (electric) light｜中文：电、电灯｜例句：部屋の電気をつける。"
"電車","でんしゃ","electric train｜中文：电车｜例句：電車で学校へ行く。"
"電話","でんわ","a telephone｜中文：电话｜例句：友達に電話をかける。"
"戸","と","door (Japanese style)｜中文：日式门｜例句：戸を開けてください。"
"～度","～ど","counter for occurrences; ~ degree; ~ point｜中文：次、度｜例句：一日三度薬を飲む。"
"ドア","ドア","door (Western style)｜中文：西式门｜例句：ドアの前に立つ。"
"トイレ","トイレ","bathroom; toilet｜中文：厕所｜例句：トイレはどこですか。"
"どう","どう","how, in what way｜中文：怎么样、如何｜例句：この鞄はどうですか。"
"どうして","どうして","why, for what reason｜中文：为什么｜例句：どうして遅れましたか。"
"どうぞ","どうぞ","please, kindly, by all means｜中文：请｜例句：どうぞお入りください。"
"動物","どうぶつ","animal｜中文：动物｜例句：動物園へ行きたい。"
"どうも","どうも","Thank you; somehow; no matter how hard one may try｜中文：多谢、总觉得｜例句：どうもありがとう。"
"十","(〜を) とお","ten (~)｜中文：十｜例句：りんごを十個買う。"
"遠い","とおい","far (away), distant｜中文：遥远｜例句：家は駅から遠い。"
"十日","とおか","ten days; tenth day of the month｜中文：十天、十号｜例句：十日に旅行に行く。"
"～時","～とき","at the time of ~｜中文：～的时候｜例句：子供のとき海が好きだった。"
"時々","ときどき","sometimes｜中文：有时｜例句：時々公園へ散歩に行く。"
"時計","とけい","a watch; a clock｜中文：钟表｜例句：時計は壁に掛けてある。"
"どこ","どこ","where, what place｜中文：哪里｜例句：どこへ行きますか。"
"所","ところ","place｜中文：地方｜例句：いい所です。"
"年","とし","year, age｜中文：年、年龄｜例句：今年二十歳の年です。"
"図書館","としょかん","library｜中文：图书馆｜例句：毎週図書館で勉強する。"
"どちら","どちら","which (one) (way); where (polite)｜中文：哪边、哪位（礼貌）｜例句：どちらが先生ですか。"
"どっち","どっち","which one, which way｜中文：哪边（口语）｜例句：どっちの鞄があなたのですか。"
"とても","とても","very (much), greatly, exceedingly｜中文：非常｜例句：とても美味しいです。"
"どなた","どなた","who｜中文：哪位（礼貌）｜例句：どなたが田中さんですか。"
"隣","となり","next to, next door to｜中文：旁边、隔壁｜例句：隣の部屋は静か。"
"どの","どの","which｜中文：哪个（连体）｜例句：どの本を読みますか。"
"飛ぶ","とぶ","to fly, to hop｜中文：飞、跳｜例句：鳥が空を飛ぶ。"
"止まる","とまる","to come to a halt｜中文：停下、停靠｜例句：バスが駅に止まる。"
"友達","ともだち","friend｜中文：朋友｜例句：友達と遊ぶ。"
"土曜日","どようび","Saturday｜中文：周六｜例句：土曜日に買い物に行く。"
"鳥","とり","chicken (literally bird)｜中文：鸟、鸡｜例句：庭に鳥がいる。"
"鶏肉","とりにく","chicken meat｜中文：鸡肉｜例句：鶏肉を焼く。"
"取る","とる","to take (a class); to get (a grade)｜中文：拿、取得｜例句：授業を取る。"
"撮る","とる","to take (a photo), to make (a film)｜中文：拍摄｜例句：旅行で写真を撮る。"
"どれ","どれ","which one｜中文：哪个（代词）｜例句：どれがあなたの鞄ですか。"
"どんな","どんな","what, what kind of｜中文：什么样的｜例句：どんな本が好きですか。"
"ない","ない","there isn't, doesn't have｜中文：没有｜例句：ここに本がない。"
"ナイフ","ナイフ","knife｜中文：小刀｜例句：ナイフで果物を切る。"
"中","なか","inside, middle, among｜中文：里面｜例句：箱の中にペンがある。"
"長い","ながい","long, lengthy｜中文：长的｜例句：長い道を歩く。"
"鳴く","なく","to make sound (animal)｜中文：（动物）鸣叫｜例句：鳥が鳴いている。"
"無くす","なくす","to lose something｜中文：丢失｜例句：傘を無くした。"
"なぜ","なぜ","why (same as どうして)｜中文：为什么｜例句：なぜ遅れたのですか。"
"夏","なつ","summer｜中文：夏天｜例句：夏に海へ行きたい。"
"夏休み","なつやすみ","summer vacation｜中文：暑假｜例句：夏休みに故郷へ帰る。"
"～など","～など","et cetera｜中文：等等｜例句：りんごやバナナなど果物を買った。"
"七つ","ななつ","seven things｜中文：七个｜例句：みかんを七つください。"
"何","なん; なに","what｜中文：什么｜例句：何を食べますか。"
"七日","なのか","seven days; seventh day (of the month)｜中文：七天、七号｜例句：七日に遠足がある。"
"名前","なまえ","name｜中文：名字｜例句：名前は田中です。"
"習う","ならう","to learn｜中文：学习、练习｜例句：日本語を習う。"
"並ぶ","ならぶ","to line up, to stand in a line (v.i.)｜中文：排队（自动）｜例句：駅に人が並んでいる。"
"並べる","ならべる","to put (things) side by side; to line up｜中文：排列、摆放｜例句：本を机に並べる。"
"なる","なる","to become｜中文：变成、成为｜例句：医者になりたい。"
"何～","なん～","what sort of ~｜中文：什么样的｜例句：何色の鞄が好きですか。"
"二","に","two｜中文：二｜例句：二冊の本を買った。"
"にぎやか","にぎやか","bustling, busy｜中文：热闹的｜例句：商店街はにぎやかだ。"
"肉","にく","meat｜中文：肉｜例句：牛肉を食べる。"
"西","にし","west｜中文：西边｜例句：西に山がある。"
"～日","～にち","~ day of the month, for ~ days｜中文：～号、～天｜例句：三日に会う。"
"日曜日","にちようび","Sunday｜中文：周日｜例句：日曜日に公園へ行く。"
"荷物","にもつ","luggage; baggage｜中文：行李｜例句：荷物を車に載せる。"
"ニュース","ニュース","news｜中文：新闻｜例句：朝ニュースを見る。"
"庭","にわ","garden｜中文：院子｜例句：庭に花が咲く。"
"～人","～にん","counter for people｜中文：～名（人）｜例句：三人の友達。"
"脱ぐ","ぬぐ","to take off (clothes)｜中文：脱（衣物）｜例句：靴を脱ぐ。"
"温い","ぬるい","lukewarm｜中文：温吞、不烫｜例句：お湯がぬるい。"
"ネクタイ","ネクタイ","tie, necktie｜中文：领带｜例句：スーツにネクタイを締める。"
"猫","ねこ","cat｜中文：猫｜例句：家に猫がいる。"
"寝る","ねる","to sleep; to go to sleep; to go to bed｜中文：睡觉｜例句：夜十一時に寝る。"
"～年","～ねん","~ years｜中文：～年｜例句：三年日本に住んだ。"
"ノート","ノート","notebook｜中文：笔记本｜例句：ノートに単語を書く。"
"登る","のぼる","to climb｜中文：攀登｜例句：山に登る。"
"飲み物","のみもの","drink, beverage｜中文：饮品｜例句：冷たい飲み物が欲しい。"
"飲む","のむ","to drink｜中文：喝｜例句：水を飲む。"
"乗る","のる","to get on, to ride in, to board｜中文：乘坐｜例句：電車に乗る。"
"歯","は","tooth｜中文：牙齿｜例句：毎朝歯を磨く。"
"パーティー","パーティー","a party｜中文：派对｜例句：誕生日パーティーを開く。"
"はい","はい","yes｜中文：是、好的｜例句：はい、分かりました。"
"～杯","～はい","counter for cupfuls｜中文：～杯｜例句：コップ一杯の水。"
"灰皿","はいざら","ashtray｜中文：烟灰缸｜例句：灰皿にタバコの灰を捨てる。"
"入る","はいる","to enter, to contain, to hold｜中文：进入、放入｜例句：部屋に入る。"
"葉書","はがき","postcard｜中文：明信片｜例句：友達に葉書を出す。"
"はく","to put on (items below your waist)｜中文：穿（下装/鞋）｜例句：靴をはく。"
"箱","はこ","box｜中文：箱子｜例句：おもちゃを箱に入れる。"
"橋","はし","bridge｜中文：桥｜例句：川に橋がある。"
"箸","はし","chopsticks｜中文：筷子｜例句：箸でご飯を食べる。"
"始まる","はじまる","(something) begins｜中文：开始（自动）｜例句：授業が九時に始まる。"
"初め; 始め","はじめ","beginning, start｜中文：最初、开端｜例句：物語の初め。"
"初めて","はじめて","for the first time｜中文：第一次｜例句：初めて東京へ行く。"
"走る","はしる","to run｜中文：跑｜例句：公園を走る。"
"バス","バス","bus; bath; bass｜中文：公交车｜例句：バスで学校へ行く。"
"バター","バター","butter｜中文：黄油｜例句：パンにバターを塗る。"
"二十歳","はたち","20 years old｜中文：二十岁｜例句：今年二十歳になる。"
"働く","はたらく","to work｜中文：工作｜例句：毎日会社で働く。"
"八","はち","eight｜中文：八｜例句：八個のりんご。"
"二十日","はつか","twenty days, twentieth (day of the month)｜中文：二十天、二十号｜例句：二十日に休暇になる。"
"花","はな","flower｜中文：花｜例句：春に花が咲く。"
"鼻","はな","nose｜中文：鼻子｜例句：鼻が高い。"
"話","はなし","talk (chat), story｜中文：话、故事｜例句：楽しい話を聞く。"
"話す","はなす","to speak｜中文：说话｜例句：日本語で話す。"
"母","はは","(my) mother｜中文：家母（自谦）｜例句：母は料理が上手。"
"早い","はやい","early｜中文：早的｜例句：朝早く起きる。"
"速い","はやい","fast, quick｜中文：速度快｜例句：電車が速い。"
"春","はる","spring｜中文：春天｜例句：春に桜が咲く。"
"貼る","はる","to post; to paste; to attach｜中文：张贴｜例句：壁に写真を貼る。"
"晴れ","はれ","clear (sunny) weather｜中文：晴天｜例句：今日は晴れです。"
"晴れる","はれる","to be sunny｜中文：放晴｜例句：午後晴れる。"
"半","はん","half (e.g., にじはん | half-past two)｜中文：一半、半～｜例句：三時半。"
"晩","ばん","evening｜中文：夜晚｜例句：晩ご飯を食べる。"
"～番","～ばん","~st; ~th best｜中文：第～名｜例句：一番好きな食べ物。"
"パン","パン","bread｜中文：面包｜例句：朝パンを食べる。"
"ハンカチ","ハンカチ","handkerchief｜中文：手帕｜例句：ハンカチで汗を拭く。"
"番号","ばんごう","number, series of digits｜中文：号码｜例句：電話番号を教える。"
"晩御飯","ばんごはん","dinner, evening meal｜中文：晚饭｜例句：家族と晩御飯を食べる。"
"半分","はんぶん","half｜中文：一半｜例句：りんごを半分に切る。"
"東","ひがし","east｜中文：东边｜例句：東に駅がある。"
"～匹","～ひき","counter for small animals｜中文：～只（小动物）｜例句：猫二匹。"
"引く","ひく","to pull, to draw; subtract｜中文：拉、减｜例句：カーテンを引く。"
"弾く","ひく","to play (a string instrument or piano)｜中文：弹奏｜例句：ピアノを弾く。"
"低い","ひくい","short, low｜中文：低矮、声音小｜例句：背が低い。"
"飛行機","ひこうき","airplane｜中文：飞机｜例句：飛行機で北京へ行く。"
"左","ひだり","left hand side｜中文：左边｜例句：左に公園がある。"
"人","ひと","man, person｜中文：人｜例句：多くの人がいる。"
"一つ","ひとつ","one thing｜中文：一个｜例句：一つだけください。"
"一月","ひとつき","one month｜中文：一个月｜例句：一月休む。"
"一人","ひとり","one person｜中文：一个人｜例句：一人で行く。"
"暇","ひま","free time, leisure｜中文：空闲｜例句：暇なら映画に行こう。"
"百","ひゃく","hundred｜中文：百｜例句：百円切手。"
"病院","びょういん","hospital｜中文：医院｜例句：体調悪いので病院へ。"
"病気","びょうき","illness; sickness｜中文：生病｜例句：風邪という病気。"
"平仮名","ひらがな","hiragana｜中文：平假名｜例句：日本語は平仮名を使う。"
"昼","ひる","noon, daytime｜中文：白天、中午｜例句：昼は十二時。"
"昼御飯","ひるごはん","lunch, midday meal｜中文：午饭｜例句：昼御飯はカレー。"
"広い","ひろい","spacious; wide; broad｜中文：宽敞、宽阔｜例句：広い部屋に住む。"
"フィルム","フィルム","film (roll of)｜中文：胶卷｜例句：カメラのフィルムを交換。"
"封筒","ふうとう","envelope｜中文：信封｜例句：手紙を封筒に入れる。"
"プール","プール","swimming pool｜中文：泳池｜例句：夏プールへ行く。"
"フォーク","フォーク","fork｜中文：叉子｜例句：ステーキにフォークを使う。"
"吹く","ふく","to blow (wind, etc.)｜中文：吹｜例句：風が吹く。"
"服","ふく","clothes｜中文：衣服｜例句：服を買いに行く。"
"二つ","ふたつ","two things｜中文：两个｜例句：二つの鞄。"
"豚肉","ぶたにく","pork｜中文：猪肉｜例句：豚肉炒めを作る。"
"二人","ふたり","two people｜中文：两个人｜例句：二人で散歩。"
"二日","ふつか","two days; second day of the month｜中文：两天、二号｜例句：二日に出発。"
"太い","ふとい","fat, thick｜中文：粗、胖｜例句：太い木。"
"冬","ふゆ","winter｜中文：冬天｜例句：冬は雪が降る。"
"降る","ふる","to precipitate, to fall (e.g., rain, snow, etc.)｜中文：下（雨雪）｜例句：雨が降っている。"
"古い","ふるい","old (in reference to objects, not people), aged, ancient｜中文：旧的、古老｜例句：古い時計。"
"～分","～ふん","~ minutes｜中文：～分钟｜例句：五分待つ。"
"文章","ぶんしょう","sentence, text｜中文：文章｜例句：日本語の文章を書く。"
"ページ","ページ","a page｜中文：页码、页｜例句：十ページを開く。"
"下手","へた","unskillful, poor｜中文：不擅长｜例句：絵が下手です。"
"ベッド","ベッド","bed｜中文：床｜例句：ベッドで寝る。"
"ペット","ペット","pet｜中文：宠物｜例句：ペットの犬。"
"部屋","へや","a room｜中文：房间｜例句：私の部屋は二階。"
"辺","へん","area, vicinity｜中文：附近、一带｜例句：この辺に店がある。"
"ペン","ペン","pen｜中文：钢笔｜例句：ペンで名前を書く。"
"勉強","べんきょう (する)","study｜中文：学习｜例句：毎晩勉強する。"
"便利","べんり","convenient, handy｜中文：方便｜例句：駅に近くて便利。"
"帽子","ぼうし","hat; cap｜中文：帽子｜例句：夏帽子をかぶる。"
"ボールペン","ボールペン","ball-point pen｜中文：圆珠笔｜例句：ボールペンを持つ。"
"外","ほか","other, the rest｜中文：其他｜例句：ほかの果物はりんご。"
"ポケット","ポケット","pocket｜中文：口袋｜例句：ポケットに鍵を入れる。"
"欲しい","ほしい","to want, in need of｜中文：想要｜例句：新しい鞄が欲しい。"
"ポスト","ポスト","mailbox; post, position｜中文：邮筒｜例句：手紙をポストに入れる。"
"細い","ほそい","thin, slender, fine｜中文：细、瘦｜例句：細い鉛筆。"
"ボタン","ボタン","button｜中文：纽扣、按钮｜例句：シャツのボタン。"
"ホテル","ホテル","hotel｜中文：酒店｜例句：旅行でホテルに泊まる。"
"本","ほん","book｜中文：书｜例句：図書館で本を読む。"
"～本","～ほん","counter for long cylindrical things｜中文：～根/支/条｜例句：鉛筆三本。"
"本棚","ほんだな","bookshelf｜中文：书架｜例句：本棚に辞書がある。"
"本当","ほんとう","real, true｜中文：真的｜例句：本当ですか。"
"～枚","～まい","counter for flat things｜中文：～张｜例句：紙一枚。"
"毎朝","まいあさ","every morning｜中文：每天早上｜例句：毎朝七時起きる。"
"毎月","まいげつ; まいつき","every month, monthly｜中文：每个月｜例句：毎月旅行に行く。"
"毎週","まいしゅう","every week｜中文：每周｜例句：毎週土曜買い物。"
"毎日","まいにち","every day｜中文：每天｜例句：毎日散歩する。"
"毎年","まいねん; まいとし","every year, yearly｜中文：每年｜例句：毎年夏海へ。"
"毎晩","まいばん","every night｜中文：每晚｜例句：毎晩シャワーを浴びる。"
"前","まえ","before, in front｜中文：前面、之前｜例句：家の前に木。"
"～前","～まえ","in front of ~｜中文：～前面｜例句：駅の前で待つ。"
"曲る","まがる","to turn, to bend｜中文：转弯｜例句：道を左に曲る。"
"まずい","まずい","terrible (in reference to food), unappetizing, unpleasant (taste)｜中文：难吃｜例句：このラーメンはまずい。"
"また","また","and; furthermore｜中文：又、再｜例句：また明日来る。"
"まだ","まだ","yet, still, besides｜中文：还｜例句：まだ食べていない。"
"町","まち","town; city｜中文：小镇、街道｜例句：町の中心に公園。"
"待つ","まつ","to wait｜中文：等待｜例句：友達を待つ。"
"まっすぐ","まっすぐ","straight (ahead), direct｜中文：笔直｜例句：まっすぐ進む。"
"マッチ","マッチ","match｜中文：火柴｜例句：マッチで火をつける。"
"窓","まど","window｜中文：窗户｜例句：窓を開ける。"
"丸い; 円い","まるい","round, circular｜中文：圆形的｜例句：丸いテーブル。"
"万","まん","ten thousand｜中文：万｜例句：一万円。"
"万年筆","まんねんひつ","fountain pen｜中文：钢笔｜例句：万年筆で字を書く。"
"磨く","みがく","to brush (teeth); to polish｜中文：刷、打磨｜例句：歯を磨く。"
"右","みぎ","right hand side｜中文：右边｜例句：右に銀行がある。"
"短い","みじかい","short (length)｜中文：短的｜例句：短い鉛筆。"
"水","みず","water｜中文：水｜例句：水を一杯ください。"
"店","みせ","store, shop｜中文：店铺｜例句：駅近くの店。"
"見せる","みせる","to show, to display｜中文：展示、给……看｜例句：写真を見せる。"
"道","みち","road, street; way, directions｜中文：道路｜例句：道をまっすぐ行く。"
"三日","みっか","three days, third day of the month｜中文：三天、三号｜例句：三日に遠足。"
"三つ","みっつ","three things｜中文：三个｜例句：三つのりんご。"
"緑","みどり","green｜中文：绿色｜例句：緑の葉。"
"皆さん","みなさん","all of you, everyone｜中文：各位｜例句：皆さん、こんにちは。"
"南","みなみ","South｜中文：南边｜例句：南へ行くと海。"
"耳","みみ","ear｜中文：耳朵｜例句：耳が遠い。"
"見る","みる","to see, to look｜中文：看｜例句：テレビを見る。"
"みんな","みんな","all, everyone｜中文：大家｜例句：みんなで行こう。"
"六日","むいか","six days; sixth day of month｜中文：六天、六号｜例句：六日に休む。"
"向こう","むこう","beyond, over there｜中文：对面、那边｜例句：向こうの建物は学校。"
"難しい","むずかしい","difficult｜中文：难的｜例句：日本語が難しい。"
"六つ","むっつ","six things｜中文：六个｜例句：六つのみかん。"
"村","むら","village｜中文：村子｜例句：田舎の村。"
"目","め","eye(s)｜中文：眼睛｜例句：目が大きい。"
"メートル","メートル","meter｜中文：米｜例句：百メートル走。"
"眼鏡","めがね","eye glasses｜中文：眼镜｜例句：眼鏡をかける。"
"もう","もう","already; again; more｜中文：已经、再｜例句：もう遅い。"
"木曜日","もくようび","Thursday｜中文：周四｜例句：木曜日本語授業。"
"もしもし","もしもし","Hello? (used on the phone)｜中文：喂（电话）｜例句：もしもし、田中さん？"
"持つ","もつ","to hold, to carry; to possess｜中文：拿着、拥有｜例句：鞄を持つ。"
"もっと","もっと","more｜中文：更加｜例句：もっと食べたい。"
"物","もの","thing (concrete object)｜中文：物品｜例句：美味しい物。"
"門","もん","gate｜中文：大门｜例句：家の門。"
"問題","もんだい","a problem｜中文：问题｜例句：試験の問題。"
"～屋","～や","~ shop｜中文：～店｜例句：八百屋。"
"八百屋","やおや","greengrocer｜中文：蔬菜水果店｜例句：八百屋で野菜を買う。"
"野菜","やさい","vegetable｜中文：蔬菜｜例句：毎日野菜を食べる。"
"易しい","やさしい","easy, plain, simple｜中文：简单、容易｜例句：易しい単語。"
"安い","やすい","inexpensive; cheap (things)｜中文：便宜｜例句：安い鞄。"
"休み","やすみ","holiday; day off; absence｜中文：休息日、假期｜例句：明日休み。"
"休む","やすむ","to rest, to have a break, to get time off｜中文：休息、请假｜例句：体調悪いので休む。"
"八つ","やっつ","eight things｜中文：八个｜例句：八つの桃。"
"山","やま","mountain｜中文：山｜例句：山へ登る。"
"やる","やる","to do; to give (to pets, parents, siblings, etc.)｜中文：做、给｜例句：宿題をやる。"
"夕方","ゆうがた","late afternoon (typically just before dinner time), evening｜中文：傍晚｜例句：夕方散歩。"
"夕飯","ゆうはん","dinner, supper, evening meal｜中文：晚饭｜例句：七時に夕飯。"
"郵便局","ゆうびんきょく","post office｜中文：邮局｜例句：郵便局で手紙を出す。"
"昨夜","ゆうべ","last night｜中文：昨晚｜例句：昨夜映画を見た。"
"有名","ゆうめい","famous｜中文：有名的｜例句：有名な俳優。"
"雪","ゆき","snow｜中文：雪｜例句：冬雪が降る。"
"ゆっくりと","ゆっくりと","slowly, at ease｜中文：慢慢｜例句：ゆっくり話す。"
"八日","ようか","eight days; eighth day of the month｜中文：八天、八号｜例句：八日に旅行。"
"洋服","ようふく","Western-style clothes｜中文：西式服装｜例句：洋服を着る。"
"よく","よく","frequently, often (much); well, skillfully｜中文：经常、擅长｜例句：よく図書館へ。"
"横","よこ","beside; side; width｜中文：横向、旁边｜例句：机の横。"
"四日","よっか","four days; fourth day of the month｜中文：四天、四号｜例句：四日に会う。"
"四つ","よっつ","four things｜中文：四个｜例句：四つのりんご。"
